   I,   II,  III,  AVR,  AVL,  AVF,   V1,   V2,   V3,   V4,   V5,   V6, RV, MapD, MapP, P 1
  -7, -36, -37,   8,   8, -36, -72, -98,-105, -73, -44, -17,  -6, -40, -29, 850
 -11, -32, -29,   9,   2, -31, -69,-100,-106, -73, -44, -16,  -6, 261, -29, 850
 -13, -31, -25,   9,  -1, -28, -66,-102,-107, -73, -43, -15,  -8, 116,  -1, 850
 -13, -35, -30,  11,   2, -32, -66,-104,-110, -75, -44, -15,  -6,-660,  16, 849
  -8, -39, -38,  11,   8, -39, -66,-105,-110, -76, -44, -15,  -5, 297,  16, 848
  -7, -43, -43,  12,  11, -43, -65,-105,-110, -77, -45, -16,  -6,-119, -17, 848
  -9, -47, -45,  15,  12, -46, -64,-105,-111, -78, -46, -18,  -8, 298, -37, 848
 -12, -49, -44,  18,  10, -47, -64,-104,-109, -78, -46, -18,  -8, 179, -11, 847
 -15, -53, -44,  21,   8, -48, -64,-103,-107, -79, -47, -19,  -6,-185,  -9, 847
 -18, -57, -45,  25,   7, -51, -64,-101,-107, -80, -48, -20,  -9, 164,   0, 846
 -26, -61, -42,  31,   1, -52, -63, -98,-105, -79, -47, -18,  -8, 116,  -9, 846
 -30, -64, -40,  35,  -2, -52, -61, -97,-104, -77, -46, -17,  -9,-782,  -8, 845
 -31, -64, -39,  35,  -3, -52, -57, -93,-100, -76, -45, -15,  -8,-448,  -1, 845
 -29, -62, -39,  32,  -1, -51, -56, -89, -98, -75, -46, -17,  -8,-130, -15, 845
 -20, -54, -41,  24,   4, -48, -58, -90, -99, -77, -49, -21,  -5,  94,  -9, 845
  -9, -45, -44,  14,  11, -44, -61, -93,-102, -79, -53, -25,  -6, 870,   3, 844
   0, -38, -44,   6,  15, -41, -66, -96,-103, -79, -53, -27,  -6, 281,  -1, 844
   5, -29, -40,  -1,  15, -35, -67, -94,-102, -75, -51, -25,  -9,  77, -15, 844
   5, -24, -35,  -4,  13, -29, -66, -90,-100, -72, -48, -22,  -9, -62, -18, 843
   2, -22, -30,  -3,   9, -26, -63, -86, -96, -67, -46, -20, -12,-345,  -5, 843
  -4, -23, -26,   1,   3, -24, -64, -85, -91, -64, -43, -19,  -8,  37, -26, 842
  -9, -23, -20,   3,  -2, -21, -63, -84, -90, -62, -41, -17,  -6, 207,  -9, 841
 -10, -22, -18,   2,  -3, -19, -62, -84, -91, -63, -40, -17,  -6, 186,   0, 841
  -5, -20, -22,  -1,   2, -21, -64, -88, -93, -65, -41, -17,  -6,-712,   2, 840
   0, -23, -30,  -2,   9, -27, -67, -94, -97, -68, -43, -18,  -6,-182, -15, 840
   2, -28, -36,  -1,  12, -32, -69, -98,-100, -71, -44, -19,  -5,-165, -17, 839
   3, -32, -41,   1,  15, -36, -71, -98,-102, -73, -46, -20,  -9, 564,  -1, 839
   0, -34, -40,   4,  13, -37, -71, -97,-103, -74, -45, -20,  -8, 136, -14, 840
  -5, -38, -39,   9,   9, -38, -71,-100,-105, -76, -45, -21,  -8,-142,  -9, 839
  -9, -41, -38,  12,   7, -40, -72,-103,-106, -78, -47, -21,  -8, 184, -22, 838
 -14, -44, -36,  17,   4, -40, -69,-102,-106, -77, -45, -19,  -9, 152,   2, 838
 -18, -48, -36,  20,   2, -42, -67,-101,-105, -76, -43, -17,  -9,-477,   8, 837
 -22, -51, -36,  24,   0, -44, -65, -97,-102, -75, -41, -14,  -9,-431,   3, 837
